Basin,NSE
01606500,0.7733948826789856
08104900,0.5083831250667572
14400000,0.8812827169895172
13240000,0.9195233136415482
02177000,0.8112781792879105
02128000,0.5832159519195557
11480390,0.8302546739578247
05556500,0.7327640950679779
07184000,0.7437594532966614
06344600,0.03305351734161377
09484600,0.08404886722564697
02430085,0.5933822095394135
08158700,0.23153430223464966
06622700,0.8398357331752777
08101000,0.6720553338527679
02017500,0.8546163588762283
13161500,0.7807563841342926
07197000,0.7808384597301483
07066000,0.6058504283428192
12451000,0.8506804704666138
07291000,0.6968080997467041
04197170,0.683404415845871
09404450,-1.3823940753936768
01181000,0.8423076570034027
07335700,0.7561839818954468
01550000,0.842059925198555
06406000,0.44445347785949707
05466500,0.6447712182998657
07315700,0.7744262963533401
12390700,0.804093137383461
14316700,0.8751644343137741
01350080,0.718878835439682
12025700,0.8388624489307404
01491000,0.6532973647117615
08324000,0.7068633437156677
02384540,0.7724920213222504
08103900,0.3856256604194641
06339100,0.06302368640899658
02193340,0.7834963798522949
08086290,0.5696557760238647
01415000,0.7752750068902969
02112120,0.7974932193756104
07196900,0.706098884344101
03384450,0.7426240146160126
12054000,0.7655348777770996
01552000,0.8528057336807251
14166500,0.8634512722492218
01350000,0.867378443479538
01169000,0.8187527656555176
03026500,0.7660861611366272
01594950,0.7560212016105652
06921070,0.805769219994545
08175000,0.8988473117351532
12383500,0.7295798361301422
04024430,0.6917020976543427
02053200,0.7728889882564545
06224000,0.917427234351635
03291780,0.7189432382583618
01333000,0.8306235373020172
05414000,-1.4484901428222656
08014500,0.6930961608886719
03340800,0.8298368006944656
01055000,0.7377136051654816
02125000,0.7199842631816864
01518862,0.8494225144386292
07375000,0.6884362995624542
10343500,0.8265026062726974
01162500,0.8552997708320618
14308990,0.7564511150121689
08190000,0.5402355790138245
01052500,0.8370208740234375
05408000,0.48508113622665405
03076600,0.8201937973499298
01567500,0.6365366876125336
02108000,0.8117655515670776
09312600,0.7496174275875092
07359610,0.7784805744886398
01413500,0.8405847400426865
10336660,0.831657737493515
11148900,0.8731195479631424
01350140,0.7434660792350769
01073000,0.914900541305542
04074950,0.7749216258525848
14182500,0.8155470788478851
02096846,0.7069361507892609
01440400,0.8658355325460434
02427250,0.828168660402298
14362250,0.8196657449007034
02137727,0.9093143120408058
02112360,0.73623988032341
05593900,0.7639425694942474
04043050,0.8477591872215271
11528700,0.7542538046836853
03069500,0.8689285963773727
02342933,0.5777390599250793
04213075,0.446633517742157
08378500,0.6722677648067474
09508300,0.7248987257480621
03281500,0.8976551219820976
05057200,0.3177960515022278
03592718,0.6907013952732086
14138800,0.8174375295639038
02298608,0.6549785435199738
08269000,0.002352476119995117
01596500,0.8554774820804596
07263295,0.790661171078682
02479560,0.753248393535614
